dst_port,flow_duration,flow_byts_s,flow_pkts_s,bwd_pkts_s,totlen_fwd_pkts,fwd_pkt_len_max,fwd_pkt_len_mean,bwd_pkt_len_max,bwd_pkt_len_min,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,bwd_header_len,flow_iat_mean,flow_iat_max,flow_iat_std,fwd_iat_mean,fwd_iat_std,psh_flag_cnt,ack_flag_cnt,init_fwd_win_byts,init_bwd_win_byts
80,0.001755,135612.5356125356,2279.202279202279,569.8005698005697,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000585,0.001698,0.0007873537959519851,0.0008775,0.0008775,0,1,512,64240
80,0.001447,164478.23082239117,2764.3400138217003,691.0850034554251,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004823333333333333,0.001383,0.000637403238844053,0.0007235,0.0007235,0,1,512,64240
80,0.00251,94820.7171314741,1593.6254980079682,398.40637450199205,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0008366666666666665,0.002446,0.0011382704228589775,0.001255,0.001255,0,1,512,64240
80,0.001825,130410.95890410959,2191.780821917808,547.945205479452,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006083333333333332,0.001687,0.0007648103613895988,0.0009125,0.0009125,0,1,512,64240
80,0.001999,119059.52976488245,2001.0005002501252,500.2501250625313,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006663333333333333,0.001905,0.0008767098848662663,0.0009995,0.0009995,0,1,512,64240
80,0.001656,143719.80676328504,2415.458937198068,603.864734299517,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000552,0.001557,0.0007117906995739689,0.000828,0.000828,0,1,512,64240
80,0.001918,124087.59124087592,2085.505735140772,521.376433785193,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006393333333333333,0.001842,0.0008509795662777234,0.000959,0.000959,0,1,512,64240
80,0.00168,141666.66666666666,2380.9523809523807,595.2380952380952,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005600000000000001,0.001546,0.0006993501745668379,0.00084,0.00084,0,1,512,64240
80,0.001913,124411.9184526921,2090.9566126502873,522.7391531625718,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006376666666666667,0.001832,0.0008451683592962739,0.0009565,0.0009565,0,1,512,64240
80,0.003972,59919.43605236657,1007.0493454179256,251.7623363544814,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013239999999999999,0.003849,0.0017861506095511656,0.001986,0.001986,0,1,512,64240
80,0.003971,59934.52530848653,1007.3029463611182,251.82573659027955,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013236666666666666,0.003508,0.001556079760880599,0.0019855,0.0019855,0,1,512,64240
80,0.002729,87211.43275925246,1465.7383657017222,366.43459142543054,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009096666666666667,0.002566,0.0011730934413857331,0.0013645,0.0013645,0,1,512,64240
80,0.002267,104984.56109395677,1764.44640494045,441.1116012351125,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0007556666666666667,0.002223,0.0010377168314247497,0.0011335,0.0011335,0,1,512,64240
80,0.002914,81674.67398764585,1372.6835964310226,343.17089910775564,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009713333333333333,0.002875,0.0013461897670421093,0.001457,0.001457,0,1,512,64240
80,0.001287,184926.18492618494,3108.003108003108,777.000777000777,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00042899999999999997,0.001258,0.0005863110664712604,0.0006435,0.0006435,0,1,512,64240
80,0.001304,182515.33742331289,3067.4846625766872,766.8711656441718,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004346666666666667,0.001278,0.0005964211785493723,0.000652,0.000652,0,1,512,64240
80,0.001564,152173.91304347824,2557.544757033248,639.386189258312,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005213333333333334,0.001539,0.000719671375621463,0.000782,0.000782,0,1,512,64240
80,0.001156,205882.35294117648,3460.2076124567475,865.0519031141869,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0003853333333333333,0.001133,0.0005287635472391122,0.000578,0.000578,0,1,512,64240
80,0.001136,209507.04225352113,3521.1267605633802,880.2816901408451,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0003786666666666667,0.001113,0.0005193369704622316,0.000568,0.000568,0,1,512,64240
80,0.001239,192090.39548022597,3228.410008071025,807.1025020177563,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00041299999999999996,0.001212,0.0005650858341880461,0.0006195,0.0006195,0,1,512,64240
80,0.001214,196046.12850082372,3294.8929159802306,823.7232289950576,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00040466666666666667,0.001167,0.0005393924565863173,0.000607,0.000607,0,1,512,64240
80,0.001222,194762.68412438626,3273.3224222585923,818.3306055646481,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00040733333333333333,0.001174,0.0005424692515607579,0.000611,0.000611,0,1,512,64240
80,0.002792,85243.55300859598,1432.6647564469913,358.1661891117478,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009306666666666668,0.002755,0.0012900869049107591,0.001396,0.001396,0,1,512,64240
80,0.001772,134311.5124153499,2257.3363431151242,564.3340857787811,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005906666666666667,0.001711,0.0007925866233766223,0.000886,0.000886,0,1,512,64240
80,0.004331,54952.66682059571,923.5742322789195,230.89355806972986,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0014436666666666667,0.004284,0.0020085106145820808,0.0021655,0.0021655,0,1,512,64240
80,0.002565,92787.52436647174,1559.4541910331384,389.8635477582846,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000855,0.002535,0.0011880025252498415,0.0012825,0.0012825,0,1,512,64240
80,0.001341,177479.49291573453,2982.848620432513,745.7121551081283,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00044699999999999997,0.001272,0.0005840428066503344,0.0006705,0.0006705,0,1,512,64240
80,0.001517,156888.59591298617,2636.783124588003,659.1957811470007,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005056666666666666,0.001454,0.0006710659845019382,0.0007585,0.0007585,0,1,512,64240
